,date,home_team,score,away_team
362,21-06-2023,Montreal Impact,1 - 0,Nashville SC (MLS)
363,24-06-2023,Columbus Crew,2 - 0,Nashville SC (MLS)
364,02-07-2023,Nashville SC (MLS),2 - 0,DC United
365,09-07-2023,Chicago Fire,1 - 0,Nashville SC (MLS)
366,13-07-2023,Nashville SC (MLS),0 - 2,Philadelphia Union
367,15-07-2023,FC Cincinnati,? - ?,Nashville SC (MLS)
368,26-02-2023,Charlotte,0 - 1,New England Revolution
369,05-03-2023,New England Revolution,3 - 0,Houston Dynamo
370,13-03-2023,Los Angeles FC,4 - 0,New England Revolution
371,18-03-2023,New England Revolution,1 - 0,Nashville SC (MLS)
372,25-03-2023,DC United,1 - 2,New England Revolution
373,01-04-2023,New England Revolution,1 - 1,New York City FC
374,08-04-2023,New England Revolution,4 - 0,Montreal Impact
375,15-04-2023,Columbus Crew,1 - 1,New England Revolution
376,22-04-2023,New England Revolution,2 - 1,Sporting Kansas City
377,29-04-2023,New England Revolution,1 - 1,FC Cincinnati
378,06-05-2023,Toronto FC,0 - 2,New England Revolution
379,13-05-2023,Club Internacional de Fútbol Miami,2 - 1,New England Revolution
380,20-05-2023,Philadelphia Union,3 - 0,New England Revolution
381,27-05-2023,New England Revolution,3 - 3,Chicago Fire
382,31-05-2023,Atlanta United FC,3 - 3,New England Revolution
383,03-06-2023,New York City FC,0 - 0,New England Revolution
384,10-06-2023,New England Revolution,3 - 1,Club Internacional de Fútbol Miami
385,17-06-2023,New England Revolution,3 - 1,Orlando City SC
386,24-06-2023,New England Revolution,2 - 1,Toronto FC
387,01-07-2023,FC Cincinnati,2 - 2,New England Revolution
388,08-07-2023,New York Red Bulls,2 - 1,New England Revolution
389,12-07-2023,New England Revolution,2 - 1,Atlanta United FC
390,15-07-2023,New England Revolution,? - ?,DC United
391,25-02-2023,Nashville SC (MLS),2 - 0,New York City FC
392,05-03-2023,Chicago Fire,1 - 1,New York City FC
393,12-03-2023,New York City FC,1 - 0,Club Internacional de Fútbol Miami
394,18-03-2023,New York City FC,3 - 2,DC United
395,26-03-2023,Houston Dynamo,1 - 0,New York City FC
396,01-04-2023,New England Revolution,1 - 1,New York City FC
397,08-04-2023,New York City FC,1 - 1,Atlanta United FC
398,15-04-2023,New York City FC,2 - 1,Nashville SC (MLS)
399,22-04-2023,New York City FC,3 - 1,FC Dallas
400,29-04-2023,Toronto FC,1 - 0,New York City FC
401,06-05-2023,Charlotte,3 - 2,New York City FC
402,13-05-2023,New York Red Bulls,1 - 0,New York City FC
403,17-05-2023,Orlando City SC,1 - 1,New York City FC
404,27-05-2023,New York City FC,1 - 3,Philadelphia Union
405,31-05-2023,New York City FC,1 - 3,FC Cincinnati
406,03-06-2023,New York City FC,0 - 0,New England Revolution
407,11-06-2023,Real Salt Lake,0 - 0,New York City FC
408,17-06-2023,New York City FC,1 - 1,Columbus Crew
409,21-06-2023,Atlanta United FC,2 - 2,New York City FC
410,25-06-2023,Portland Timbers,1 - 1,New York City FC
411,01-07-2023,Montreal Impact,0 - 1,New York City FC
412,05-07-2023,New York City FC,1 - 1,Charlotte
413,08-07-2023,Columbus Crew,1 - 1,New York City FC
414,15-07-2023,Philadelphia Union,? - ?,New York City FC
415,26-02-2023,Orlando City SC,1 - 0,New York Red Bulls
416,05-03-2023,New York Red Bulls,0 - 0,Nashville SC (MLS)
417,12-03-2023,Minnesota Utd,1 - 1,New York Red Bulls
418,18-03-2023,New York Red Bulls,2 - 1,Columbus Crew
419,25-03-2023,Charlotte,1 - 1,New York Red Bulls
420,01-04-2023,Atlanta United FC,1 - 0,New York Red Bulls
421,08-04-2023,New York Red Bulls,1 - 1,San Jose Earthquakes
422,15-04-2023,New York Red Bulls,1 - 1,Houston Dynamo
423,22-04-2023,Montreal Impact,2 - 0,New York Red Bulls
424,30-04-2023,Chicago Fire,1 - 1,New York Red Bulls
425,06-05-2023,New York Red Bulls,0 - 1,Philadelphia Union
426,13-05-2023,New York Red Bulls,1 - 0,New York City FC
427,17-05-2023,Toronto FC,0 - 0,New York Red Bulls
428,20-05-2023,New York Red Bulls,2 - 1,Montreal Impact
429,28-05-2023,Seattle Sounders FC,1 - 0,New York Red Bulls
430,31-05-2023,Club Internacional de Fútbol Miami,0 - 1,New York Red Bulls
431,03-06-2023,New York Red Bulls,0 - 3,Orlando City SC
432,21-06-2023,New York Red Bulls,2 - 2,Charlotte
433,24-06-2023,New York Red Bulls,4 - 0,Atlanta United FC
434,01-07-2023,Columbus Crew,2 - 1,New York Red Bulls
435,08-07-2023,New York Red Bulls,2 - 1,New England Revolution
436,12-07-2023,New York Red Bulls,1 - 2,FC Cincinnati
437,16-07-2023,Real Salt Lake,? - ?,New York Red Bulls
438,26-02-2023,Orlando City SC,1 - 0,New York Red Bulls
