,date,home_team,score,away_team
344,27-08-2022,Fakel Voronezh,1 - 4,Spartak M
345,04-09-2022,Spartak M,1 - 2,Zenit St Petersburg
346,11-09-2022,Rostov,4 - 2,Spartak M
347,18-09-2022,Spartak M,1 - 0,Lokomotiv M
348,02-10-2022,Nizhny Novgorod,1 - 2,Spartak M
349,09-10-2022,Spartak M,5 - 2,Krylya Samara
350,16-10-2022,CSKA Moscow,2 - 2,Spartak M
351,23-10-2022,Spartak M,5 - 0,FC Khimki
352,30-10-2022,Spartak M,1 - 0,Torpedo Moskva
353,05-11-2022,FK SOCHI,1 - 1,Spartak M
354,12-11-2022,Lokomotiv M,1 - 2,Spartak M
355,04-03-2023,Spartak M,2 - 2,Ural
356,11-03-2023,Spartak M,3 - 2,Fakel Voronezh
357,18-03-2023,Gazovik Orenburg,2 - 0,Spartak M
358,01-04-2023,Spartak M,0 - 0,Terek Grozny
359,08-04-2023,Spartak M,3 - 3,Dinamo Moscow
360,15-04-2023,Torpedo Moskva,1 - 2,Spartak M
361,24-04-2023,Spartak M,4 - 3,Krasnodar
362,29-04-2023,Spartak M,1 - 1,Rostov
363,07-05-2023,Zenit St Petersburg,3 - 2,Spartak M
364,13-05-2023,FC Khimki,1 - 1,Spartak M
365,21-05-2023,Spartak M,2 - 1,CSKA Moscow
366,28-05-2023,Spartak M,0 - 0,Nizhny Novgorod
367,03-06-2023,Krylya Samara,1 - 0,Spartak M
368,16-07-2022,Terek Grozny,1 - 1,Spartak M
369,24-07-2022,Terek Grozny,2 - 1,Fakel Voronezh
370,30-07-2022,FK SOCHI,2 - 1,Terek Grozny
371,06-08-2022,Terek Grozny,0 - 0,Zenit St Petersburg
372,14-08-2022,FC Khimki,1 - 3,Terek Grozny
373,21-08-2022,CSKA Moscow,4 - 2,Terek Grozny
374,27-08-2022,Terek Grozny,1 - 2,Krylya Samara
375,04-09-2022,Lokomotiv M,1 - 2,Terek Grozny
376,10-09-2022,Terek Grozny,1 - 3,Nizhny Novgorod
377,17-09-2022,Ural,1 - 2,Terek Grozny
378,02-10-2022,Terek Grozny,2 - 1,Dinamo Moscow
379,09-10-2022,Gazovik Orenburg,2 - 1,Terek Grozny
380,15-10-2022,Krasnodar,2 - 3,Terek Grozny
381,23-10-2022,Terek Grozny,1 - 0,Torpedo Moskva
382,29-10-2022,Terek Grozny,1 - 2,Rostov
383,05-11-2022,Zenit St Petersburg,1 - 2,Terek Grozny
384,11-11-2022,Nizhny Novgorod,3 - 2,Terek Grozny
385,04-03-2023,Terek Grozny,3 - 1,Gazovik Orenburg
386,11-03-2023,Terek Grozny,0 - 1,Lokomotiv M
387,19-03-2023,Krylya Samara,0 - 1,Terek Grozny
388,01-04-2023,Spartak M,0 - 0,Terek Grozny
389,08-04-2023,Terek Grozny,2 - 0,Ural
390,16-04-2023,Fakel Voronezh,1 - 1,Terek Grozny
391,23-04-2023,Terek Grozny,1 - 0,FK SOCHI
392,29-04-2023,Terek Grozny,1 - 3,CSKA Moscow
393,06-05-2023,Torpedo Moskva,1 - 5,Terek Grozny
394,14-05-2023,Dinamo Moscow,0 - 3,Terek Grozny
395,20-05-2023,Terek Grozny,3 - 0,FC Khimki
396,28-05-2023,Rostov,3 - 2,Terek Grozny
397,03-06-2023,Terek Grozny,2 - 2,Krasnodar
398,17-07-2022,Torpedo Moskva,1 - 3,FK SOCHI
399,24-07-2022,Dinamo Moscow,4 - 0,Torpedo Moskva
400,31-07-2022,Krylya Samara,1 - 1,Torpedo Moskva
401,07-08-2022,Torpedo Moskva,1 - 3,FC Khimki
402,14-08-2022,Gazovik Orenburg,1 - 0,Torpedo Moskva
403,21-08-2022,Zenit St Petersburg,2 - 0,Torpedo Moskva
404,28-08-2022,Torpedo Moskva,1 - 4,Krasnodar
405,05-09-2022,Torpedo Moskva,0 - 1,Rostov
406,11-09-2022,Ural,2 - 0,Torpedo Moskva
407,17-09-2022,Torpedo Moskva,1 - 0,CSKA Moscow
408,02-10-2022,Fakel Voronezh,2 - 2,Torpedo Moskva
409,09-10-2022,Torpedo Moskva,0 - 0,Nizhny Novgorod
