,date,home_team,score,away_team
424,28-05-2023,Fortuna Sittard,1 - 1,NEC Nijmegen
425,06-08-2022,PSV Eindhoven,4 - 1,FC Emmen
426,13-08-2022,GO Ahead Eagles,2 - 5,PSV Eindhoven
427,28-08-2022,Excelsior,1 - 6,PSV Eindhoven
428,31-08-2022,PSV Eindhoven,7 - 1,FC Volendam
429,03-09-2022,Twente,2 - 1,PSV Eindhoven
430,11-09-2022,PSV Eindhoven,1 - 0,Waalwijk
431,18-09-2022,PSV Eindhoven,4 - 3,Feyenoord
432,01-10-2022,Cambuur,3 - 0,PSV Eindhoven
433,09-10-2022,Heerenveen,0 - 1,PSV Eindhoven
434,16-10-2022,PSV Eindhoven,6 - 1,Utrecht
435,23-10-2022,Groningen,4 - 2,PSV Eindhoven
436,30-10-2022,PSV Eindhoven,3 - 0,NEC Nijmegen
437,06-11-2022,Ajax,1 - 2,PSV Eindhoven
438,12-11-2022,PSV Eindhoven,0 - 1,AZ Alkmaar
439,07-01-2023,PSV Eindhoven,0 - 0,Sparta Rotterdam
440,15-01-2023,Fortuna Sittard,2 - 2,PSV Eindhoven
441,21-01-2023,PSV Eindhoven,1 - 0,Vitesse
442,24-01-2023,FC Emmen,1 - 0,PSV Eindhoven
443,28-01-2023,PSV Eindhoven,2 - 0,GO Ahead Eagles
444,05-02-2023,Feyenoord,2 - 2,PSV Eindhoven
445,11-02-2023,PSV Eindhoven,6 - 0,Groningen
446,19-02-2023,Utrecht,2 - 2,PSV Eindhoven
447,26-02-2023,PSV Eindhoven,3 - 1,Twente
448,05-03-2023,Waalwijk,0 - 1,PSV Eindhoven
449,12-03-2023,PSV Eindhoven,5 - 2,Cambuur
450,19-03-2023,Vitesse,1 - 1,PSV Eindhoven
451,01-04-2023,NEC Nijmegen,2 - 4,PSV Eindhoven
452,08-04-2023,PSV Eindhoven,4 - 0,Excelsior
453,16-04-2023,FC Volendam,2 - 3,PSV Eindhoven
454,23-04-2023,PSV Eindhoven,3 - 0,Ajax
455,06-05-2023,Sparta Rotterdam,0 - 1,PSV Eindhoven
456,14-05-2023,PSV Eindhoven,2 - 1,Fortuna Sittard
457,21-05-2023,PSV Eindhoven,3 - 3,Heerenveen
458,28-05-2023,AZ Alkmaar,1 - 2,PSV Eindhoven
459,05-08-2022,Heerenveen,0 - 0,Sparta Rotterdam
460,14-08-2022,Sparta Rotterdam,2 - 3,AZ Alkmaar
