,date,home_team,score,away_team
291,04-02-2023,Aberdeen,3 - 1,Motherwell
292,15-02-2023,Motherwell,2 - 1,St Mirren
293,19-02-2023,Motherwell,2 - 0,Hearts
294,25-02-2023,Kilmarnock,1 - 1,Motherwell
295,04-03-2023,Ross County,0 - 2,Motherwell
296,18-03-2023,Motherwell,2 - 4,Rangers
297,01-04-2023,Hibernian,1 - 3,Motherwell
298,08-04-2023,Motherwell,3 - 0,Livingston
299,15-04-2023,Motherwell,1 - 2,Dundee United
300,22-04-2023,Celtic,1 - 1,Motherwell
301,06-05-2023,Motherwell,2 - 0,Kilmarnock
302,13-05-2023,St Johnstone,0 - 2,Motherwell
303,20-05-2023,Motherwell,1 - 0,Ross County
304,24-05-2023,Livingston,1 - 1,Motherwell
305,28-05-2023,Motherwell,3 - 2,Dundee United
306,09-05-2023,Partick,4 - 3,Queens Park
307,12-05-2023,Queens Park,0 - 4,Partick
308,19-05-2023,Partick,3 - 0,Ayr
309,26-05-2023,Ayr,0 - 5,Partick
310,01-06-2023,Partick,2 - 0,Ross County
311,09-05-2023,Partick,4 - 3,Queens Park
312,12-05-2023,Queens Park,0 - 4,Partick
313,30-07-2022,Livingston,1 - 2,Rangers
314,06-08-2022,Rangers,2 - 0,Kilmarnock
315,13-08-2022,Rangers,4 - 0,St Johnstone
316,20-08-2022,Hibernian,2 - 2,Rangers
317,27-08-2022,Rangers,4 - 0,Ross County
318,03-09-2022,Celtic,4 - 0,Rangers
319,17-09-2022,Rangers,2 - 1,Dundee United
320,01-10-2022,Hearts,0 - 4,Rangers
321,08-10-2022,Rangers,4 - 0,St Mirren
322,16-10-2022,Motherwell,1 - 2,Rangers
323,22-10-2022,Rangers,1 - 1,Livingston
324,29-10-2022,Rangers,4 - 1,Aberdeen
325,06-11-2022,St Johnstone,2 - 1,Rangers
326,09-11-2022,Rangers,1 - 0,Hearts
327,12-11-2022,St Mirren,1 - 1,Rangers
328,15-12-2022,Rangers,3 - 2,Hibernian
329,20-12-2022,Aberdeen,2 - 3,Rangers
330,23-12-2022,Ross County,0 - 1,Rangers
331,28-12-2022,Rangers,3 - 0,Motherwell
332,02-01-2023,Rangers,2 - 2,Celtic
333,08-01-2023,Dundee United,0 - 2,Rangers
334,18-01-2023,Kilmarnock,2 - 3,Rangers
335,28-01-2023,Rangers,2 - 0,St Johnstone
336,01-02-2023,Hearts,0 - 3,Rangers
337,04-02-2023,Rangers,2 - 1,Ross County
338,18-02-2023,Livingston,0 - 3,Rangers
339,04-03-2023,Rangers,3 - 1,Kilmarnock
340,08-03-2023,Hibernian,1 - 4,Rangers
341,18-03-2023,Motherwell,2 - 4,Rangers
342,01-04-2023,Rangers,2 - 0,Dundee United
343,08-04-2023,Celtic,3 - 2,Rangers
344,15-04-2023,Rangers,5 - 2,St Mirren
345,23-04-2023,Aberdeen,2 - 0,Rangers
346,07-05-2023,Rangers,1 - 0,Aberdeen
347,13-05-2023,Rangers,3 - 0,Celtic
348,21-05-2023,Hibernian,1 - 3,Rangers
349,24-05-2023,Rangers,2 - 2,Hearts
350,27-05-2023,St Mirren,0 - 3,Rangers
351,30-07-2022,Hearts,2 - 1,Ross County
352,06-08-2022,Ross County,1 - 3,Celtic
353,13-08-2022,St Mirren,1 - 0,Ross County
354,20-08-2022,Ross County,1 - 0,Kilmarnock
355,27-08-2022,Rangers,4 - 0,Ross County
356,03-09-2022,Ross County,1 - 1,Aberdeen
357,17-09-2022,St Johnstone,0 - 0,Ross County
358,01-10-2022,Ross County,0 - 2,Hibernian
359,04-10-2022,Ross County,0 - 5,Motherwell
360,08-10-2022,Livingston,0 - 1,Ross County
361,15-10-2022,Ross County,1 - 1,Dundee United
362,22-10-2022,Kilmarnock,1 - 0,Ross County
363,30-10-2022,Ross County,1 - 2,Hearts
364,05-11-2022,Ross County,3 - 2,St Mirren
365,08-11-2022,Hibernian,0 - 2,Ross County
366,12-11-2022,Celtic,2 - 1,Ross County
367,17-12-2022,Ross County,1 - 2,St Johnstone
368,23-12-2022,Ross County,0 - 1,Rangers
369,28-12-2022,Dundee United,3 - 0,Ross County
370,02-01-2023,Aberdeen,0 - 0,Ross County
371,07-01-2023,Ross County,0 - 2,Livingston
372,14-01-2023,Motherwell,1 - 1,Ross County
373,28-01-2023,Ross County,3 - 0,Kilmarnock
374,31-01-2023,Ross County,1 - 1,Hibernian
375,04-02-2023,Rangers,2 - 1,Ross County
376,18-02-2023,St Mirren,1 - 0,Ross County
377,25-02-2023,Ross County,4 - 0,Dundee United
378,04-03-2023,Ross County,0 - 2,Motherwell
379,18-03-2023,Livingston,2 - 1,Ross County
380,02-04-2023,Ross County,0 - 2,Celtic
381,08-04-2023,St Johnstone,0 - 2,Ross County
382,14-04-2023,Ross County,0 - 1,Aberdeen
383,22-04-2023,Hearts,6 - 1,Ross County
384,06-05-2023,Ross County,2 - 0,Livingston
385,13-05-2023,Dundee United,1 - 3,Ross County
386,20-05-2023,Motherwell,1 - 0,Ross County
387,24-05-2023,Ross County,3 - 3,St Johnstone
388,28-05-2023,Kilmarnock,3 - 1,Ross County
389,01-06-2023,Partick,2 - 0,Ross County
390,30-07-2022,St Johnstone,0 - 1,Hibernian
391,06-08-2022,Motherwell,1 - 2,St Johnstone
392,13-08-2022,Rangers,4 - 0,St Johnstone
393,20-08-2022,St Johnstone,0 - 1,Aberdeen
394,28-08-2022,Hearts,3 - 2,St Johnstone
395,03-09-2022,St Johnstone,3 - 0,St Mirren
396,17-09-2022,St Johnstone,0 - 0,Ross County
397,01-10-2022,Dundee United,1 - 2,St Johnstone
398,05-10-2022,Kilmarnock,2 - 1,St Johnstone
399,08-10-2022,St Johnstone,1 - 2,Celtic
400,15-10-2022,Livingston,1 - 0,St Johnstone
401,21-10-2022,Hibernian,1 - 2,St Johnstone
402,29-10-2022,St Johnstone,1 - 0,Kilmarnock
403,06-11-2022,St Johnstone,2 - 1,Rangers
404,09-11-2022,St Mirren,2 - 2,St Johnstone
405,12-11-2022,St Johnstone,1 - 1,Motherwell
406,17-12-2022,Ross County,1 - 2,St Johnstone
407,24-12-2022,Celtic,4 - 1,St Johnstone
408,28-12-2022,St Johnstone,2 - 3,Hearts
409,02-01-2023,St Johnstone,0 - 1,Dundee United
410,07-01-2023,Aberdeen,2 - 0,St Johnstone
411,14-01-2023,St Johnstone,2 - 4,Livingston
412,28-01-2023,Rangers,2 - 0,St Johnstone
413,01-02-2023,Motherwell,0 - 2,St Johnstone
414,05-02-2023,St Johnstone,1 - 4,Celtic
415,18-02-2023,Dundee United,1 - 2,St Johnstone
416,25-02-2023,St Johnstone,1 - 1,St Mirren
417,04-03-2023,Hearts,3 - 0,St Johnstone
418,18-03-2023,Kilmarnock,1 - 1,St Johnstone
419,01-04-2023,St Johnstone,0 - 1,Aberdeen
420,08-04-2023,St Johnstone,0 - 2,Ross County
421,15-04-2023,Livingston,2 - 0,St Johnstone
422,22-04-2023,St Johnstone,1 - 1,Hibernian
423,06-05-2023,St Johnstone,1 - 0,Dundee United
424,13-05-2023,St Johnstone,0 - 2,Motherwell
425,20-05-2023,Kilmarnock,0 - 1,St Johnstone
426,24-05-2023,Ross County,3 - 3,St Johnstone
427,28-05-2023,St Johnstone,2 - 0,Livingston
428,31-07-2022,St Mirren,0 - 1,Motherwell
429,06-08-2022,Aberdeen,4 - 1,St Mirren
430,13-08-2022,St Mirren,1 - 0,Ross County
431,20-08-2022,Dundee United,0 - 3,St Mirren
432,27-08-2022,St Mirren,1 - 0,Hibernian
433,03-09-2022,St Johnstone,3 - 0,St Mirren
434,18-09-2022,St Mirren,2 - 0,Celtic
435,01-10-2022,St Mirren,2 - 1,Livingston
436,08-10-2022,Rangers,4 - 0,St Mirren
437,15-10-2022,St Mirren,0 - 0,Kilmarnock
438,22-10-2022,St Mirren,2 - 1,Dundee United
439,29-10-2022,Hibernian,3 - 0,St Mirren
440,05-11-2022,Ross County,3 - 2,St Mirren
441,09-11-2022,St Mirren,2 - 2,St Johnstone
442,12-11-2022,St Mirren,1 - 1,Rangers
443,24-12-2022,St Mirren,3 - 1,Aberdeen
444,28-12-2022,Livingston,1 - 1,St Mirren
445,02-01-2023,Kilmarnock,0 - 0,St Mirren
446,07-01-2023,St Mirren,1 - 1,Hearts
447,13-01-2023,Hearts,1 - 0,St Mirren
448,18-01-2023,Celtic,4 - 0,St Mirren
449,28-01-2023,St Mirren,1 - 0,Motherwell
450,01-02-2023,Aberdeen,1 - 3,St Mirren
451,04-02-2023,St Mirren,0 - 1,Hibernian
452,15-02-2023,Motherwell,2 - 1,St Mirren
453,18-02-2023,St Mirren,1 - 0,Ross County
454,25-02-2023,St Johnstone,1 - 1,St Mirren
455,05-03-2023,St Mirren,1 - 5,Celtic
456,18-03-2023,Dundee United,1 - 1,St Mirren
457,01-04-2023,St Mirren,3 - 0,Livingston
458,08-04-2023,Hearts,0 - 2,St Mirren
459,15-04-2023,Rangers,5 - 2,St Mirren
460,22-04-2023,St Mirren,0 - 2,Kilmarnock
461,06-05-2023,Hibernian,2 - 1,St Mirren
462,13-05-2023,St Mirren,2 - 2,Hearts
463,20-05-2023,Celtic,2 - 2,St Mirren
464,24-05-2023,Aberdeen,3 - 0,St Mirren
465,27-05-2023,St Mirren,0 - 3,Rangers
