,date,home_team,score,away_team
415,21-05-2023,Lanus,1 - 0,Newells
416,27-05-2023,CA Independiente,1 - 1,Lanus
417,05-06-2023,Lanus,2 - 1,CA Tucuman
418,10-06-2023,Boca Juniors,1 - 1,Lanus
419,17-06-2023,Union Santa Fe,1 - 1,Lanus
420,24-06-2023,Lanus,2 - 1,Talleres Cord.
421,30-06-2023,Platense,0 - 1,Lanus
422,04-07-2023,Lanus,0 - 1,Velez Sarsfield
423,09-07-2023,Defensa y Justicia,2 - 2,Lanus
424,16-07-2023,Lanus,? - ?,Banfield
425,29-01-2023,Platense,2 - 2,Newells
426,03-02-2023,Newells,1 - 0,Velez Sarsfield
427,11-02-2023,Defensa y Justicia,1 - 0,Newells
428,19-02-2023,Newells,2 - 0,Banfield
429,27-02-2023,Instituto Cordoba,3 - 1,Newells
430,05-03-2023,Newells,1 - 0,Barracas Central
431,14-03-2023,Colon,1 - 1,Newells
432,20-03-2023,Newells,1 - 0,San Lorenzo
433,31-03-2023,Estudiantes LP,3 - 0,Newells
434,09-04-2023,Newells,0 - 0,Rosario Central
435,12-04-2023,Racing Club,0 - 1,Newells
436,16-04-2023,Newells,0 - 1,River Plate
437,22-04-2023,Belgrano Cordoba,1 - 0,Newells
438,28-04-2023,Newells,0 - 0,Argentinos Jrs
439,08-05-2023,Tigre,2 - 2,Newells
440,13-05-2023,Newells,2 - 0,Arsenal de Sarandi
441,21-05-2023,Lanus,1 - 0,Newells
