,date,home_team,score,away_team
289,25-02-2023,Everton,0 - 2,Aston Villa
290,01-03-2023,Arsenal,4 - 0,Everton
291,05-03-2023,Nott'm Forest,2 - 2,Everton
292,11-03-2023,Everton,1 - 0,Brentford
293,18-03-2023,Chelsea,2 - 2,Everton
294,03-04-2023,Everton,1 - 1,Tottenham
295,08-04-2023,Man United,2 - 0,Everton
296,15-04-2023,Everton,1 - 3,Fulham
297,22-04-2023,Crystal Palace,0 - 0,Everton
298,27-04-2023,Everton,1 - 4,Newcastle
299,01-05-2023,Leicester,2 - 2,Everton
300,08-05-2023,Brighton,1 - 5,Everton
301,14-05-2023,Everton,0 - 3,Man City
302,20-05-2023,Wolves,1 - 1,Everton
303,28-05-2023,Everton,1 - 0,Bournemouth
304,06-08-2022,Fulham,2 - 2,Liverpool
305,13-08-2022,Wolves,0 - 0,Fulham
306,20-08-2022,Fulham,3 - 2,Brentford
307,27-08-2022,Arsenal,2 - 1,Fulham
308,30-08-2022,Fulham,2 - 1,Brighton
309,03-09-2022,Tottenham,2 - 1,Fulham
310,16-09-2022,Nott'm Forest,2 - 3,Fulham
311,01-10-2022,Fulham,1 - 4,Newcastle
312,09-10-2022,West Ham,3 - 1,Fulham
313,15-10-2022,Fulham,2 - 2,Bournemouth
314,20-10-2022,Fulham,3 - 0,Aston Villa
315,23-10-2022,Leeds,2 - 3,Fulham
316,29-10-2022,Fulham,0 - 0,Everton
317,05-11-2022,Man City,2 - 1,Fulham
318,13-11-2022,Fulham,1 - 2,Man United
319,26-12-2022,Crystal Palace,0 - 3,Fulham
320,31-12-2022,Fulham,2 - 1,Southampton
321,03-01-2023,Leicester,0 - 1,Fulham
322,12-01-2023,Fulham,2 - 1,Chelsea
323,15-01-2023,Newcastle,1 - 0,Fulham
324,23-01-2023,Fulham,0 - 1,Tottenham
325,03-02-2023,Chelsea,0 - 0,Fulham
326,11-02-2023,Fulham,2 - 0,Nott'm Forest
327,18-02-2023,Brighton,0 - 1,Fulham
328,24-02-2023,Fulham,1 - 1,Wolves
329,06-03-2023,Brentford,3 - 2,Fulham
330,12-03-2023,Fulham,0 - 3,Arsenal
331,01-04-2023,Bournemouth,2 - 1,Fulham
332,08-04-2023,Fulham,0 - 1,West Ham
333,15-04-2023,Everton,1 - 3,Fulham
334,22-04-2023,Fulham,2 - 1,Leeds
335,25-04-2023,Aston Villa,1 - 0,Fulham
336,30-04-2023,Fulham,1 - 2,Man City
337,03-05-2023,Liverpool,1 - 0,Fulham
338,08-05-2023,Fulham,5 - 3,Leicester
339,13-05-2023,Southampton,0 - 2,Fulham
340,20-05-2023,Fulham,2 - 2,Crystal Palace
341,28-05-2023,Man United,2 - 1,Fulham
342,06-08-2022,Leeds,2 - 1,Wolves
343,13-08-2022,Southampton,2 - 2,Leeds
344,21-08-2022,Leeds,3 - 0,Chelsea
345,27-08-2022,Brighton,1 - 0,Leeds
346,30-08-2022,Leeds,1 - 1,Everton
347,03-09-2022,Brentford,5 - 2,Leeds
348,02-10-2022,Leeds,0 - 0,Aston Villa
349,09-10-2022,Crystal Palace,2 - 1,Leeds
350,16-10-2022,Leeds,0 - 1,Arsenal
351,20-10-2022,Leicester,2 - 0,Leeds
352,23-10-2022,Leeds,2 - 3,Fulham
353,29-10-2022,Liverpool,1 - 2,Leeds
354,05-11-2022,Leeds,4 - 3,Bournemouth
355,12-11-2022,Tottenham,4 - 3,Leeds
356,28-12-2022,Leeds,1 - 3,Man City
357,31-12-2022,Newcastle,0 - 0,Leeds
358,04-01-2023,Leeds,2 - 2,West Ham
359,13-01-2023,Aston Villa,2 - 1,Leeds
360,22-01-2023,Leeds,0 - 0,Brentford
361,05-02-2023,Nott'm Forest,1 - 0,Leeds
362,08-02-2023,Man United,2 - 2,Leeds
363,12-02-2023,Leeds,0 - 2,Man United
364,18-02-2023,Everton,1 - 0,Leeds
365,25-02-2023,Leeds,1 - 0,Southampton
366,04-03-2023,Chelsea,1 - 0,Leeds
367,11-03-2023,Leeds,2 - 2,Brighton
368,18-03-2023,Wolves,2 - 4,Leeds
369,01-04-2023,Arsenal,4 - 1,Leeds
370,04-04-2023,Leeds,2 - 1,Nott'm Forest
371,09-04-2023,Leeds,1 - 5,Crystal Palace
372,17-04-2023,Leeds,1 - 6,Liverpool
373,22-04-2023,Fulham,2 - 1,Leeds
374,25-04-2023,Leeds,1 - 1,Leicester
375,30-04-2023,Bournemouth,4 - 1,Leeds
376,06-05-2023,Man City,2 - 1,Leeds
377,13-05-2023,Leeds,2 - 2,Newcastle
378,21-05-2023,West Ham,3 - 1,Leeds
379,28-05-2023,Leeds,1 - 4,Tottenham
380,07-08-2022,Leicester,2 - 2,Brentford
381,13-08-2022,Arsenal,4 - 2,Leicester
382,20-08-2022,Leicester,1 - 2,Southampton
383,27-08-2022,Chelsea,2 - 1,Leicester
384,01-09-2022,Leicester,0 - 1,Man United
385,04-09-2022,Brighton,5 - 2,Leicester
386,17-09-2022,Tottenham,6 - 2,Leicester
387,03-10-2022,Leicester,4 - 0,Nott'm Forest
388,08-10-2022,Bournemouth,2 - 1,Leicester
389,15-10-2022,Leicester,0 - 0,Crystal Palace
390,20-10-2022,Leicester,2 - 0,Leeds
391,23-10-2022,Wolves,0 - 4,Leicester
392,29-10-2022,Leicester,0 - 1,Man City
393,05-11-2022,Everton,0 - 2,Leicester
394,12-11-2022,West Ham,0 - 2,Leicester
395,26-12-2022,Leicester,0 - 3,Newcastle
396,30-12-2022,Liverpool,2 - 1,Leicester
397,03-01-2023,Leicester,0 - 1,Fulham
398,14-01-2023,Nott'm Forest,2 - 0,Leicester
399,21-01-2023,Leicester,2 - 2,Brighton
400,04-02-2023,Aston Villa,2 - 4,Leicester
401,11-02-2023,Leicester,4 - 1,Tottenham
