,date,home_team,score,away_team
284,16-04-2023,Austria Klagenfurt,0 - 2,SK Sturm Graz
285,23-04-2023,SK Sturm Graz,0 - 2,FC Salzburg
286,26-04-2023,SK Sturm Graz,3 - 2,FK Austria Vienna
287,07-05-2023,FK Austria Vienna,1 - 2,SK Sturm Graz
288,14-05-2023,SK Sturm Graz,4 - 1,Austria Klagenfurt
289,21-05-2023,FC Salzburg,2 - 1,SK Sturm Graz
290,28-05-2023,Rapid Vienna,3 - 2,SK Sturm Graz
291,03-06-2023,SK Sturm Graz,2 - 0,LASK Linz
292,24-07-2022,Rapid Vienna,1 - 0,SV Ried
293,30-07-2022,SV Ried,1 - 0,Austria Lustenau
294,06-08-2022,SV Ried,1 - 1,SK Sturm Graz
295,13-08-2022,Austria Klagenfurt,1 - 0,SV Ried
296,21-08-2022,SV Ried,1 - 2,Swarovski Watt
297,27-08-2022,Hartberg,2 - 0,SV Ried
298,04-09-2022,LASK Linz,1 - 1,SV Ried
299,10-09-2022,SV Ried,0 - 3,FC Salzburg
300,18-09-2022,FK Austria Vienna,3 - 0,SV Ried
301,02-10-2022,SV Ried,2 - 3,SCR Altach
302,09-10-2022,Wolfsberger AC,1 - 2,SV Ried
303,15-10-2022,SV Ried,1 - 0,Rapid Vienna
304,23-10-2022,Austria Lustenau,0 - 0,SV Ried
305,30-10-2022,SK Sturm Graz,2 - 1,SV Ried
306,05-11-2022,SV Ried,2 - 2,Austria Klagenfurt
307,12-11-2022,Swarovski Watt,2 - 0,SV Ried
308,12-02-2023,SV Ried,0 - 1,Hartberg
309,18-02-2023,SV Ried,1 - 1,LASK Linz
310,26-02-2023,FC Salzburg,2 - 0,SV Ried
311,04-03-2023,SV Ried,1 - 3,FK Austria Vienna
312,12-03-2023,SCR Altach,1 - 2,SV Ried
313,19-03-2023,SV Ried,0 - 0,Wolfsberger AC
314,01-04-2023,Wolfsberger AC,1 - 0,SV Ried
315,08-04-2023,SV Ried,1 - 3,Hartberg
316,14-04-2023,SV Ried,1 - 1,Swarovski Watt
317,22-04-2023,SCR Altach,1 - 1,SV Ried
318,29-04-2023,SV Ried,4 - 4,Austria Lustenau
319,06-05-2023,Austria Lustenau,2 - 2,SV Ried
320,12-05-2023,Swarovski Watt,1 - 1,SV Ried
321,19-05-2023,SV Ried,0 - 1,SCR Altach
322,27-05-2023,Hartberg,2 - 0,SV Ried
323,02-06-2023,SV Ried,1 - 2,Wolfsberger AC
324,24-07-2022,Austria Lustenau,2 - 1,Swarovski Watt
325,31-07-2022,Swarovski Watt,2 - 1,Hartberg
326,07-08-2022,Swarovski Watt,2 - 2,Austria Klagenfurt
327,13-08-2022,FK Austria Vienna,2 - 1,Swarovski Watt
328,21-08-2022,SV Ried,1 - 2,Swarovski Watt
329,28-08-2022,Swarovski Watt,1 - 3,Wolfsberger AC
330,03-09-2022,FC Salzburg,2 - 0,Swarovski Watt
331,10-09-2022,Swarovski Watt,0 - 0,SCR Altach
332,17-09-2022,LASK Linz,1 - 4,Swarovski Watt
333,01-10-2022,Swarovski Watt,0 - 5,Rapid Vienna
334,09-10-2022,SK Sturm Graz,2 - 1,Swarovski Watt
335,15-10-2022,Swarovski Watt,3 - 2,Austria Lustenau
336,22-10-2022,Hartberg,1 - 5,Swarovski Watt
337,29-10-2022,Austria Klagenfurt,2 - 3,Swarovski Watt
338,06-11-2022,Swarovski Watt,0 - 0,FK Austria Vienna
339,12-11-2022,Swarovski Watt,2 - 0,SV Ried
340,11-02-2023,Wolfsberger AC,1 - 2,Swarovski Watt
341,19-02-2023,Swarovski Watt,1 - 3,FC Salzburg
342,26-02-2023,SCR Altach,0 - 0,Swarovski Watt
343,05-03-2023,Swarovski Watt,2 - 3,LASK Linz
344,12-03-2023,Rapid Vienna,2 - 0,Swarovski Watt
345,19-03-2023,Swarovski Watt,0 - 2,SK Sturm Graz
346,01-04-2023,SCR Altach,1 - 0,Swarovski Watt
347,07-04-2023,Swarovski Watt,4 - 0,Wolfsberger AC
348,14-04-2023,SV Ried,1 - 1,Swarovski Watt
349,22-04-2023,Swarovski Watt,0 - 2,Austria Lustenau
350,29-04-2023,Swarovski Watt,1 - 1,Hartberg
351,06-05-2023,Hartberg,5 - 0,Swarovski Watt
352,12-05-2023,Swarovski Watt,1 - 1,SV Ried
353,20-05-2023,Austria Lustenau,2 - 4,Swarovski Watt
354,27-05-2023,Wolfsberger AC,2 - 0,Swarovski Watt
355,02-06-2023,Swarovski Watt,1 - 1,SCR Altach
356,23-07-2022,Wolfsberger AC,1 - 1,SK Sturm Graz
357,30-07-2022,SCR Altach,2 - 2,Wolfsberger AC
358,06-08-2022,Wolfsberger AC,1 - 5,LASK Linz
359,14-08-2022,FC Salzburg,2 - 1,Wolfsberger AC
360,21-08-2022,Wolfsberger AC,1 - 2,FK Austria Vienna
361,28-08-2022,Swarovski Watt,1 - 3,Wolfsberger AC
362,04-09-2022,Wolfsberger AC,3 - 4,Austria Klagenfurt
363,10-09-2022,Rapid Vienna,1 - 3,Wolfsberger AC
364,17-09-2022,Wolfsberger AC,3 - 1,Hartberg
365,01-10-2022,Austria Lustenau,1 - 3,Wolfsberger AC
366,09-10-2022,Wolfsberger AC,1 - 2,SV Ried
367,16-10-2022,SK Sturm Graz,3 - 2,Wolfsberger AC
368,23-10-2022,Wolfsberger AC,2 - 3,SCR Altach
369,30-10-2022,LASK Linz,4 - 1,Wolfsberger AC
370,05-11-2022,Wolfsberger AC,1 - 2,FC Salzburg
371,13-11-2022,FK Austria Vienna,0 - 1,Wolfsberger AC
372,11-02-2023,Wolfsberger AC,1 - 2,Swarovski Watt
373,18-02-2023,Austria Klagenfurt,0 - 3,Wolfsberger AC
374,26-02-2023,Wolfsberger AC,1 - 2,Rapid Vienna
375,04-03-2023,Hartberg,2 - 1,Wolfsberger AC
376,12-03-2023,Wolfsberger AC,0 - 1,Austria Lustenau
377,19-03-2023,SV Ried,0 - 0,Wolfsberger AC
378,01-04-2023,Wolfsberger AC,1 - 0,SV Ried
379,07-04-2023,Swarovski Watt,4 - 0,Wolfsberger AC
380,15-04-2023,Austria Lustenau,1 - 3,Wolfsberger AC
381,21-04-2023,Wolfsberger AC,2 - 2,Hartberg
382,28-04-2023,SCR Altach,0 - 2,Wolfsberger AC
383,05-05-2023,Wolfsberger AC,0 - 0,SCR Altach
384,13-05-2023,Wolfsberger AC,2 - 2,Austria Lustenau
385,20-05-2023,Hartberg,0 - 2,Wolfsberger AC
386,27-05-2023,Wolfsberger AC,2 - 0,Swarovski Watt
387,02-06-2023,SV Ried,1 - 2,Wolfsberger AC
